date,new_cases,cumulative_cases,active,active_cumulative,recovered,recovered_cumulative,deaths,deaths_cumulative
2020-03-09,2,2,2,2,0,0,0,0
2020-03-10,8,10,7,9,0,0,1,1
2020-03-11,5,15,5,14,0,0,0,1
2020-03-12,8,23,8,22,0,0,0,1
2020-03-13,10,33,10,32,0,0,0,1
2020-03-14,5,38,5,37,0,0,0,1
2020-03-15,4,42,4,41,0,0,0,1
2020-03-16,9,51,9,50,0,0,0,1
2020-03-17,4,55,4,54,0,0,0,1
2020-03-18,4,59,2,56,1,1,1,2
2020-03-19,5,64,5,61,0,1,0,2
2020-03-20,6,70,4,65,2,3,0,2
2020-03-21,6,76,6,71,0,3,0,2
2020-03-22,13,98,21,92,0,3,1,3
2020-03-23,15,104,3,95,2,5,1,4
2020-03-24,19,123,13,108,5,10,1,5
2020-03-25,23,146,16,124,7,17,0,5
2020-03-26,28,174,27,151,0,17,1,6
2020-03-27,12,186,-4,147,14,31,2,8
2020-03-28,11,197,7,154,2,33,2,10
2020-03-29,15,212,8,162,7,40,0,10
2020-03-30,11,223,6,168,4,44,1,11
2020-03-31,20,243,10,178,8,52,2,13
2020-04-01,16,259,-1,177,15,67,2,15
2020-04-02,18,277,8,185,9,76,1,16
2020-04-03,27,304,13,198,13,89,1,17
2020-04-04,29,333,18,216,10,99,1,18
2020-04-05,28,361,21,237,5,104,2,20
2020-04-06,16,377,3,240,12,116,1,21
2020-04-07,6,383,-10,230,15,131,1,22
2020-04-08,17,400,-6,224,23,154,0,22
2020-04-09,9,409,-2,222,11,165,0,22
2020-04-10,7,416,-11,211,17,182,1,23
2020-04-11,17,433,2,213,15,197,0,23
2020-04-12,13,446,-7,206,20,217,0,23
2020-04-13,21,467,6,212,15,232,0,23
2020-04-14,8,475,-9,203,16,248,1,24
2020-04-15,19,494,15,218,3,251,1,25
2020-04-16,24,518,-3,215,26,277,1,26
2020-04-17,21,539,15,230,6,283,0,26
2020-04-18,9,548,-10,220,19,302,0,26
2020-04-19,14,562,2,222,12,314,0,26
2020-04-20,22,584,9,231,13,327,0,26
2020-04-21,25,609,7,238,18,345,0,26
2020-04-22,25,634,13,251,11,356,1,27
2020-04-23,29,663,0,251,29,385,0,27
2020-04-24,15,678,6,257,9,394,0,27
2020-04-25,34,712,25,282,9,403,0,27
2020-04-26,14,726,6,288,7,410,1,28
2020-04-27,10,736,-2,286,12,422,0,28
2020-04-28,14,750,3,289,9,431,2,30
2020-04-29,16,766,-8,281,24,455,0,30
2020-04-30,7,773,-9,272,15,470,1,31
2020-05-01,9,782,-9,263,18,488,0,31
2020-05-02,7,789,-24,239,31,519,0,31
2020-05-03,6,795,-6,233,12,531,0,31
2020-05-04,8,803,-4,229,12,543,0,31
2020-05-05,17,820,-10,219,27,570,0,31
2020-05-06,12,832,-13,206,25,595,0,31
2020-05-07,10,842,0,206,10,605,0,31
2020-05-08,8,850,-7,199,15,620,0,31
2020-05-09,6,856,-1,198,7,627,0,31
2020-05-10,12,868,-11,187,23,650,0,31
2020-05-11,4,872,0,187,4,654,0,31
2020-05-12,4,876,-24,163,28,682,0,31
2020-05-13,4,880,-2,161,6,688,0,31
2020-05-14,18,898,12,173,6,694,0,31
2020-05-15,18,916,7,180,11,705,0,31
2020-05-16,17,933,8,188,9,714,0,31
2020-05-17,13,946,12,200,1,715,0,31
2020-05-18,2,948,-10,190,12,727,0,31
2020-05-19,1,949,-14,176,15,742,0,31
2020-05-20,15,964,-1,175,16,758,0,31
2020-05-21,5,969,-8,167,13,771,0,31
2020-05-22,12,981,6,173,6,777,0,31
2020-05-23,8,989,2,175,6,783,0,31
2020-05-24,9,998,2,177,6,789,1,32
2020-05-25,6,1004,0,177,6,795,0,32
2020-05-26,25,1029,16,193,8,803,1,33
2020-05-27,21,1050,12,205,9,812,0,33
2020-05-28,26,1076,15,220,11,823,0,33
2020-05-29,23,1099,-5,215,28,851,0,33
2020-05-30,23,1122,17,232,6,857,0,33
2020-05-31,15,1137,0,232,15,872,0,33
2020-06-01,6,1143,1,233,5,877,0,33
2020-06-02,21,1164,7,240,14,891,0,33
2020-06-03,20,1184,13,253,7,898,0,33
2020-06-04,13,1197,13,266,0,898,0,33
2020-06-05,15,1212,3,269,12,910,0,33
2020-06-06,20,1232,4,273,15,925,1,34
2020-06-07,14,1246,1,274,13,938,0,34
2020-06-08,17,1263,10,284,7,945,0,34
2020-06-09,36,1299,21,305,15,960,0,34
2020-06-10,42,1341,22,327,20,980,0,34
2020-06-11,44,1385,22,349,21,1001,1,35
2020-06-12,31,1416,-3,346,33,1034,1,36
2020-06-13,48,1464,43,389,5,1039,0,36
2020-06-14,57,1521,52,441,5,1044,0,36
2020-06-15,69,1590,58,499,11,1055,0,36
2020-06-16,82,1672,72,571,9,1064,1,37
2020-06-17,50,1722,36,607,13,1077,1,38
2020-06-18,66,1788,56,663,9,1086,1,39
2020-06-19,50,1838,19,682,28,1114,3,42
2020-06-20,53,1891,40,722,12,1126,1,43
2020-06-21,71,1962,62,784,8,1134,1,44
2020-06-22,33,1995,8,792,25,1159,0,44
2020-06-23,52,2047,15,807,36,1195,1,45
2020-06-24,67,2114,43,850,22,1217,2,47
2020-06-25,78,2192,43,893,33,1250,2,49
2020-06-26,77,2269,27,920,48,1298,2,51
2020-06-27,61,2330,11,931,48,1346,2,53
2020-06-28,72,2402,32,963,38,1384,2,55
2020-06-29,64,2466,7,970,54,1438,3,58
2020-06-30,69,2535,44,1014,21,1459,4,62
2020-07-01,45,2580,-15,999,57,1516,3,65
2020-07-02,82,2662,35,1034,43,1559,4,69
2020-07-03,90,2752,54,1088,33,1592,3,72
2020-07-04,67,2819,20,1108,45,1637,2,74
2020-07-05,74,2893,52,1160,20,1657,2,76
2020-07-06,71,2964,23,1183,45,1702,3,79
2020-07-07,74,3038,30,1213,42,1744,2,81
2020-07-08,68,3106,19,1232,47,1791,2,83
2020-07-09,82,3188,41,1273,41,1832,0,83
2020-07-10,90,3278,45,1318,43,1875,2,85
2020-07-11,93,3371,83,1401,6,1881,4,89
2020-07-12,83,3454,14,1415,65,1946,4,93
2020-07-13,117,3571,47,1462,68,2014,2,95
2020-07-14,96,3667,46,1508,48,2062,2,97
2020-07-15,85,3752,52,1560,29,2091,4,101
2020-07-16,99,3851,50,1610,46,2137,3,104
2020-07-17,55,3906,-25,1585,77,2214,3,107
2020-07-18,102,4008,48,1633,50,2264,4,111
2020-07-19,82,4090,34,1667,47,2311,1,112
2020-07-20,81,4171,39,1706,41,2352,1,113
2020-07-21,119,4290,70,1776,45,2397,4,117
2020-07-22,68,4358,-1,1775,66,2463,3,120
2020-07-23,108,4466,45,1820,60,2523,3,123
2020-07-24,104,4570,14,1834,85,2608,5,128
2020-07-25,67,4637,32,1866,29,2637,6,134
2020-07-26,126,4763,77,1943,45,2682,4,138
2020-07-27,117,4880,48,1991,63,2745,6,144
2020-07-28,117,4997,69,2060,44,2789,4,148
2020-07-29,108,5105,65,2125,41,2830,2,150
2020-07-30,92,5197,35,2160,53,2883,4,154
2020-07-31,79,5276,7,2167,69,2952,3,157
2020-08-01,120,5396,107,2274,9,2961,4,161
2020-08-02,123,5519,61,2335,57,3018,5,166
2020-08-03,101,5620,82,2417,13,3031,6,172
2020-08-04,130,5750,103,2520,23,3054,4,176
2020-08-05,139,5889,64,2584,69,3123,6,182
2020-08-06,127,6016,89,2673,32,3155,6,188
2020-08-07,135,6151,62,2735,72,3227,1,189
2020-08-08,124,6275,79,2814,41,3268,4,193
2020-08-09,136,6411,56,2870,74,3342,6,199
2020-08-10,125,6536,87,2957,37,3379,1,200
2020-08-11,140,6676,34,2991,101,3480,5,205
2020-08-12,141,6817,66,3057,72,3552,3,208
2020-08-13,154,6971,85,3142,64,3616,5,213
2020-08-14,146,7117,61,3203,79,3695,6,219
2020-08-15,143,7260,86,3289,51,3746,6,225
2020-08-16,120,7380,69,3358,48,3794,3,228
