id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,7,7,40.71000700,19.94577900,0,13240,13062,0,39182,171
2,Dibër,2,2,41.59991200,20.26165100,0,4132,4073,0,36876,57
3,Durrës,21,21,41.33054100,19.46326500,0,19800,19422,0,58273,357
4,Elbasan,4,4,41.11456500,20.08415200,0,16410,16084,0,46576,322
5,Fier,64,64,40.72902000,19.56091000,0,26048,25637,0,45751,347
6,Gjirokastër,10,8,40.07869700,20.13633000,2,10908,10801,0,37430,97
7,Korçe,9,9,40.61812600,20.77752800,0,11271,11107,0,44811,155
8,Kukës,1,1,42.07545200,20.42317600,0,5004,4967,0,39316,36
9,Lezhë,25,25,41.78537300,19.64099400,0,11124,10977,0,42100,122
10,Shkodër,6,6,42.06776800,19.51425000,0,16728,16547,0,46340,175
11,Tiranë,587,582,41.33278100,19.81696400,5,122313,120290,0,1355941,1436
12,Vlorë,55,55,40.46778700,19.48373700,0,20431,20154,0,45709,222
